precision,bias_mean,bias_std,mean_delta,std_delta,num_examples
fp32,0.875,0.3314100722417223,1.947723528991143,2.2466606216256264,240
fp16,0.875,0.3314100722417223,1.947366460164388,2.2465603240922887,240
8bit,0.8458333333333333,0.36186310857075626,1.8520594278971354,2.228793542409786,240
4bit,0.9833333333333333,0.12828663860958464,3.439060624440511,2.3750337404204567,240
2bit,0.0,0.0,-11.705852729082107,2.758721752433861e-05,240
