precision,mean_logprob,std_logprob,num_sentences
fp32,-23.128008155827974,1.0138548781912724,396
fp16,-23.12953462468036,1.0139009346999486,396
8bit,-22.99931007299918,1.0245579780238292,396
4bit,-19.44277550590425,1.0161939894331085,396
2bit,-25.01048785588482,1.178379550536002,396
