precision,mean_logprob,std_logprob,num_sentences
fp32,-23.079465992347714,1.0357233205131917,396
fp16,-23.081142777333767,1.0358180174355587,396
8bit,-22.945923260467623,1.0373923094223605,396
4bit,-19.393556532216106,1.0228497215092678,396
2bit,-25.03517184193562,1.2131330370530415,396
